2.1 Land uses and production systems present,
,
A. Crop-based land uses,
Annual cropland,"Fields mainly used for crops that are sown and harvested at least once a year (e.g. cereals, vegetables, legumes, oilseeds)."
"Perennial / tree crops (orchards, plantations of tree crops, perennial horticulture)","Areas dominated by long-lived crops that remain in place for several years (e.g. coffee, cocoa, fruit orchards, olives, vineyards, tea)."
B. Livestock and grassland systems,
Permanent grassland / pasture / rangeland (grazing-based livestock),"Areas mainly used for grazing animals on natural or sown grasses and herbaceous vegetation (e.g. pastures, rangelands, transhumant grazing areas)."
Mixed crop–livestock systems,"Landscapes where crops and livestock are managed together in an integrated way (e.g. crop fields with regular grazing, manure cycling between fields and animals)."
C. Tree-based production systems,
Agroforestry or silvopastoral systems,"Areas where trees are deliberately integrated with crops and/or livestock as part of the production system (e.g. shade-grown coffee, alley cropping, trees in pastures)."
Plantation forestry (timber and pulp plantations),"Tree plantations primarily managed for wood, pulp, or fibre production (e.g. eucalyptus, pine, acacia timber plantations)."
D. Water-related production systems,
Rice paddies and other flooded cropland,Cropland that depends on managed flooding or standing water for part of the production cycle (e.g. irrigated rice systems).
Aquaculture and fishponds,"Artificial or managed waterbodies used mainly for fish, crustacean, or aquatic organism production."
E. Natural and semi-natural areas within the landscape,
"Natural or semi-natural forest, shrubland or woodland","Forest, woodland or shrubland patches that are not primarily managed as plantations and retain natural or semi-natural vegetation."
"Natural or semi-natural grassland, savanna or shrub-steppe",Open vegetation areas that are not primarily managed as sown pastures but retain natural or semi-natural characteristics.
"Wetlands and natural waterbodies (lakes, rivers, marshes, riparian zones)","Natural or semi-natural aquatic and wetland features within or adjacent to the monitored area (e.g. rivers, streams, ponds, marshes, riparian strips)."
F. Other land uses,
Other land use or production system (please specify),Any other type of land use present that does not fit the categories above.
